Date,DeviceSerialNumber,SensorType,Value,Unit,Status
2021-12-28 08:08,CH20211110,Humidity,45.9,%,good
2021-12-28 08:08,CH20211110,Humidity,46.2,%,good
2021-12-28 09:09,CH20211110,Humidity,46.3,%,good
2021-12-28 09:09,CH20211110,Humidity,46.1,%,good
2021-12-28 09:09,CH20211110,Humidity,45.9,%,good
2021-12-28 09:09,CH20211110,Humidity,46.2,%,good
2021-12-28 09:09,CH20211110,Humidity,46,%,good
2021-12-28 09:09,CH20211110,Humidity,45.8,%,good
2021-12-28 09:09,CH20211110,Humidity,45.7,%,good
2021-12-28 09:09,CH20211110,Humidity,45.6,%,good
2021-12-28 09:09,CH20211110,Humidity,45.5,%,good
2021-12-28 09:09,CH20211110,Humidity,45.4,%,good
2021-12-28 09:09,CH20211110,Humidity,45.4,%,good
2021-12-28 09:09,CH20211110,Humidity,45.5,%,good
2021-12-28 10:10,CH20211110,Humidity,45.5,%,good
2021-12-28 10:10,CH20211110,Humidity,45.5,%,good
2021-12-28 10:10,CH20211110,Humidity,45.5,%,good
2021-12-28 10:10,CH20211110,Humidity,45.5,%,good
2021-12-28 10:10,CH20211110,Humidity,45.5,%,good
2021-12-28 10:10,CH20211110,Humidity,45.6,%,good
2021-12-28 10:10,CH20211110,Humidity,45.6,%,good
2021-12-28 10:10,CH20211110,Humidity,45.7,%,good
2021-12-28 10:10,CH20211110,Humidity,45.8,%,good
2021-12-28 10:10,CH20211110,Humidity,46,%,good
2021-12-28 10:10,CH20211110,Humidity,46,%,good
2021-12-28 10:10,CH20211110,Humidity,46.1,%,good
2021-12-28 11:11,CH20211110,Humidity,46.1,%,good
2021-12-28 11:11,CH20211110,Humidity,46.1,%,good
2021-12-28 11:11,CH20211110,Humidity,45.9,%,good
2021-12-28 11:11,CH20211110,Humidity,45.8,%,good
2021-12-28 11:11,CH20211110,Humidity,45.9,%,good
2021-12-28 11:11,CH20211110,Humidity,46.4,%,good
2021-12-28 11:11,CH20211110,Humidity,46.6,%,good
2021-12-28 11:11,CH20211110,Humidity,46.7,%,good
2021-12-28 11:11,CH20211110,Humidity,46.7,%,good
2021-12-28 11:11,CH20211110,Humidity,46.8,%,good
2021-12-28 11:11,CH20211110,Humidity,47,%,good
2021-12-28 11:11,CH20211110,Humidity,47.2,%,good
2021-12-28 12:12,CH20211110,Humidity,47.3,%,good
2021-12-28 12:12,CH20211110,Humidity,47.5,%,good
2021-12-28 12:12,CH20211110,Humidity,47.3,%,good
2021-12-28 12:12,CH20211110,Humidity,47.1,%,good
2021-12-28 12:12,CH20211110,Humidity,46.9,%,good
2021-12-28 12:12,CH20211110,Humidity,46.6,%,good
2021-12-28 12:12,CH20211110,Humidity,46.4,%,good
2021-12-28 12:12,CH20211110,Humidity,46.2,%,good
2021-12-28 12:12,CH20211110,Humidity,46,%,good
2021-12-28 12:12,CH20211110,Humidity,45.8,%,good
2021-12-28 12:12,CH20211110,Humidity,45.7,%,good
2021-12-28 12:12,CH20211110,Humidity,45.6,%,good
2021-12-28 13:01,CH20211110,Humidity,45.8,%,good
2021-12-28 13:01,CH20211110,Humidity,45.9,%,good
2021-12-28 13:01,CH20211110,Humidity,46.5,%,good
2021-12-28 13:01,CH20211110,Humidity,47.1,%,good
2021-12-28 13:01,CH20211110,Humidity,47.2,%,error
2021-12-28 13:01,CH20211110,Humidity,47.2,%,error
2021-12-28 13:01,CH20211110,Humidity,47.2,%,error
2021-12-28 13:01,CH20211110,Humidity,47.2,%,error
2021-12-28 13:01,CH20211110,Humidity,50.8,%,error
2021-12-28 13:01,CH20211110,Humidity,50.8,%,error
2021-12-28 13:01,CH20211110,Humidity,50.8,%,error
2021-12-28 14:02,CH20211110,Humidity,50.8,%,error
2021-12-28 14:02,CH20211110,Humidity,58.7,%,good
2021-12-28 14:02,CH20211110,Humidity,55.5,%,good
